T_star,0.5,1,2,3,4,5,6,7,8,9,10,11,12
0.02,9.47294E+12,3.03E+32,107.0478256,26.77094957,12.94184069,8.560755177,6.895599904,6.282111469,6.139493174,6.217917792,6.398959273,6.629824664,6.895599904
0.04,900222858.9,1.97E+32,52.66964112,16.65653572,9.169451489,6.546856556,5.468506835,5.036018819,4.916103631,4.957982432,5.085213782,5.259821672,5.468506835
0.06,297210615.8,9.37E+31,34.71697512,12.62343581,7.501716063,5.595243665,4.772383404,4.425271917,4.319542891,4.345924049,4.447118426,4.593126639,4.772383404
0.08,1.05186E+12,5.14E+31,25.75056288,10.37771863,6.507023629,5.002423639,4.329893276,4.03579833,3.940397781,3.958068234,4.042946783,4.170250947,4.329893276
0.1,1.40366E+14,3.10E+31,20.3484151,8.916337569,5.826872967,4.58336037,4.012180126,3.75536908,3.668078327,3.680182889,3.753551885,3.86716719,4.012180126
0.12,424015489.7,2.01E+31,16.73047521,7.870148617,5.321991242,4.264202073,3.767150445,3.538550551,3.457937039,3.466208397,3.530880925,3.633797056,3.767150445
0.14,1088914973,1.37E+31,14.1389111,7.071579101,4.92518923,4.008350968,3.568773062,3.362666158,3.287757592,3.293267954,3.351042438,3.445186771,3.568773062
0.16,2236796654,9.82E+30,12.19628896,6.434375129,4.599981589,3.795240349,3.402238967,3.214813663,3.144934644,3.148397143,3.200494844,3.287172633,3.402238967
0.18,6.83967E+11,7.09E+30,10.68964516,5.909808017,4.325065382,3.61244943,3.258449803,3.087026008,3.021694814,3.023611689,3.070901996,3.15103759,3.258449803
0.2,8.23915E+11,5.24E+30,9.49081099,5.468153199,4.087312761,3.452130025,3.131555667,2.974147035,2.91299601,2.913735235,2.956866158,3.031151615,3.131555667
0.4,2.16794E+14,8.26E+29,4.32328394,3.16598366,2.698916309,2.452679152,2.314720956,2.24059145,2.208368515,2.20573744,2.225223001,2.26227708,2.314720956
0.6,3.21044E+15,2.60E+29,2.808867839,2.285526722,2.06795998,1.947540601,1.876880052,1.837257485,1.819148573,1.81697361,1.827198985,1.847573437,1.876880052
0.8,1.8889E+15,1.13E+29,2.135350788,1.842164947,1.721049124,1.652978218,1.612207501,1.588867193,1.577952881,1.576485273,1.582518042,1.594728863,1.612207501
1,2.88428E+15,5.90E+28,1.76831066,1.582650985,1.50746166,1.465241478,1.439797672,1.425131261,1.418249784,1.4173606,1.421251259,1.429012564,1.439797672
1.2,3.13389E+15,3.46E+28,1.541985945,1.414953241,1.364896795,1.33711172,1.320440889,1.310878111,1.306463693,1.306017033,1.308701173,1.313801359,1.320440889
1.4,3.34387E+15,2.20E+28,1.390232559,1.298682759,1.26381133,1.244855847,1.233647966,1.227332896,1.224539526,1.224433156,1.226383786,1.229769464,1.233647966
1.6,9.07522E+13,1.48E+28,1.282104075,1.213705641,1.188711288,1.175546737,1.167971825,1.163855809,1.162190666,1.162351387,1.163828417,1.166041911,1.167971825
1.8,8.06718E+13,1.05E+28,1.201420118,1.149006209,1.130812449,1.121659885,1.116630806,1.114079924,1.113237437,1.113612643,1.114768845,1.116141675,1.116630806
2,7.12267E+13,7.66E+27,1.138993877,1.098112114,1.084816413,1.078568423,1.075400661,1.074009927,1.073790569,1.074341774,1.075272047,1.076017978,1.075400661
2.2,6.27219E+13,5.78E+27,1.089263085,1.056999458,1.047362326,1.043294152,1.041535556,1.04103411,1.041301849,1.042000298,1.042766348,1.043029473,1.041535556
2.4,5.52237E+13,4.46E+27,1.048684982,1.023048998,1.01622763,1.013844832,1.013184544,1.013384125,1.014042775,1.014866523,1.015510047,1.015391191,1.013184544
2.6,4.86866E+13,3.52E+27,1.014906019,0.994489598,0.989890103,0.988843367,0.9890603,0.989825703,0.99080511,0.99173708,0.992287188,0.991859177,0.9890603
2.8,4.3019E+13,2.82E+27,0.986307105,0.970084506,0.967275563,0.967310638,0.968242925,0.969474287,0.970721894,0.971748555,0.972226149,0.971543041,0.968242925
3,3.81156E+13,2.30E+27,0.96174099,0.948946056,0.94760617,0.948533234,0.950059352,0.951681097,0.95315661,0.954267062,0.954687518,0.9537904,0.950059352
3.2,3.38735E+13,1.90E+27,0.940373772,0.93042181,0.930306089,0.931980069,0.934006769,0.935960471,0.937632365,0.9388177,0.939192568,0.938113321,0.934006769
3.4,3.01989E+13,1.58E+27,0.921585719,0.914022153,0.91494018,0.917248227,0.919702567,0.92194221,0.923785376,0.925038215,0.925376338,0.92414015,0.919702567
3.6,2.70092E+13,1.34E+27,0.90490742,0.899372875,0.901174158,0.904026839,0.906850788,0.909339523,0.911333646,0.912647802,0.912956058,0.911583155,0.906850788
3.8,2.42331E+13,1.14E+27,0.889976912,0.886183275,0.888747036,0.892072416,0.895219103,0.897926988,0.900055396,0.901425626,0.901709445,0.900216301,0.895219103
4,2.18101E+13,9.76E+26,0.876510981,0.874224226,0.877452218,0.881191642,0.884622698,0.88752508,0.88977392,0.891195738,0.891459461,0.889859667,0.884622698
5,1.34466E+13,5.01E+26,0.82463367,0.827557802,0.833126542,0.83834765,0.842812511,0.846435295,0.849142153,0.850772604,0.850977592,0.84898394,0.842812511
6,8.8182E+12,2.91E+26,0.788677897,0.794622261,0.801596681,0.807732565,0.812852959,0.816946488,0.819965069,0.821750389,0.821933997,0.819684937,0.812852959
7,6.07555E+12,1.84E+26,0.761673425,0.76954894,0.77745362,0.784211143,0.789788032,0.794218102,0.797467218,0.799374879,0.799554141,0.797124205,0.789788032
8,4.35542E+12,1.23E+26,0.740275873,0.749471663,0.758033059,0.765240523,0.771155396,0.775840597,0.779269664,0.781278004,0.781461568,0.778895923,0.771155396
9,3.22505E+12,8.66E+25,0.722668644,0.732811608,0.74185822,0.749406034,0.755582063,0.760468722,0.764043613,0.766137207,0.766329749,0.763658102,0.755582063
10,1.96174E+12,6.32E+25,0.707772117,0.71861952,0.728036868,0.735850582,0.742234801,0.747285341,0.750981671,0.753148984,0.753353111,0.750596194,0.742234801
11,1.52915E+12,4.75E+25,0.694899446,0.706285494,0.715993428,0.724020033,0.730574202,0.735761101,0.739560673,0.741792762,0.742009923,0.739182868,0.730574202
12,1.21458E+12,3.66E+25,0.683589772,0.695396782,0.705337055,0.713537411,0.720232904,0.725535285,0.729424064,0.731713792,0.731944759,0.729058997,0.720232904
